,full_text,created_at
211,"Mahfud MD Mentri Terjujur Jokowi VS Komisi III DPR RI. Anggota DPR sampai Ketat ketir tak berkutik
Indonesia I Lebay I Rank 1 I Pil 2 I Ganjar I 2,5 M I Golput I Daddy I Sore I Ricky I Anggota DPR I BUILD SOLD OUT KING
#3nisan #yurtlar #DasaRAW #BookfluencerxMarkFord https://t.co/ILLhePpUAD",2023-03-31 02:23:48+00:00
212,"RDP Mahfud MD vs Komisi III 

Here we go

https://t.co/kgrq4b7bZi",2023-03-29 08:38:32+00:00
213,"Mahfud MD: Ada anggota DPR jadi Markus marah2 dan menitip suatu kasus ke
Jaksa Agung. DPR minta Mahfud sebutkan nama anggota DPR yg jadi markus tsb.
@antoni268 @erwinkuswandi19
@alleySych @tr1ey @riza_ajir @Hangudi_L @Gunadi84380182 @borist0ka @DesIndraL1 https://t.co/lzJlNQJIwD",2023-03-29 17:05:09+00:00
214,"Dari tadi nonton sidang Mahfud MD VS DPR berasa masuk kelas hukum gratis wkwk gue seneng kalo liat orang ngeluarin argumen secara jelas, tegas, tepat, ga plongaplongo 😂 kepintarannya ga perlu dipertanyakan lagi. Orang² kaya Mahfud MD yg harus banyak di bangku pemerintahan nanti.",2023-03-29 12:16:39+00:00
215,Arteria Dahlan menyinggung pernyataan Mahfud Md soal Markus (makelar kasus). Dalam penyampaiannya ia sempat membawa nama legislator Demokrat Benny K Harman. https://t.co/E3payaMF7d,2023-03-29 20:36:19+00:00
216,Mahfud MD Vs DPR Part 1 https://t.co/JwotBidqa7,2023-03-30 11:17:33+00:00
217,Mahfud MD vs Komisi III DPR RI,2023-03-29 09:57:17+00:00
218,"VIDEO: Mahfud MD vs DPR Memanas: Jangan Main Gertak, Saya Juga Bisa Gertak Balik! https://t.co/0tDCUJ58JY",2023-03-30 06:26:05+00:00
219,Prabowo Subianto:  Laga Panas Mahfud Md vs Trio Keras di Gelanggang Komisi III DPR Semalam - detikNews https://t.co/ogKCFirSMB #PrabowoUnggul #BangkitBersama,2023-03-30 04:57:36+00:00
220,,2009-06-16 10:48:24+00:00
221,,2010-04-02 11:22:33+00:00
222,,2022-12-02 06:24:31+00:00
223,,2019-05-04 03:32:58+00:00
224,,2010-02-23 09:48:55+00:00
225,,2017-05-25 10:48:35+00:00
226,,2009-06-27 07:49:19+00:00
227,,2012-01-06 07:14:25+00:00
228,,2009-08-27 03:03:05+00:00
229,,2012-01-16 11:16:30+00:00
230,,2021-06-01 06:43:19+00:00
231,,2018-07-01 07:59:19+00:00
232,,2010-05-06 13:07:40+00:00
233,,2022-09-18 14:26:17+00:00
234,,2009-06-18 01:53:29+00:00
235,,2009-04-12 07:01:14+00:00
236,,2019-01-19 06:40:14+00:00
237,"https://t.co/aOuCPUB6vS

Mahfud MD vs DPR RI
#Kemenkeu #mahfudmd #dprri",2023-03-27 09:30:49+00:00
238,"Arteria Dahlan VS Benny K. Harman saling bantah terkait Mahfud MD sebut DPR Markus / markus

https://t.co/rhWKycdFiR",2023-03-30 12:59:05+00:00
239,"Goggle Trends Hari Ini 30 Maret 2023

1. Dewa United VS Persik: 20 rb+
2. Download Tiktok: 20 rb+
3. Cha Eun Woo: 10rb+
4. PPATK adalah: 10rb+
5. THR PNS 2023: 10rb+
6. Mahfud MD Anggota DPR: 5rb+
7. Persis Solo: 2rb+",2023-03-30 15:17:08+00:00
240,"Menteri Keuangan (Menkeu) Sri Mulyani Indrawati mengungkapkan data yang berbeda dengan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD soal dugaan megaskandal Rp349 triliun. Tak pelak, kondisi ini membuat anggota DPR… https://t.co/zgBiFltdch",2023-03-30 06:49:04+00:00
241,"...lagi live streaming @mohmahfudmd vs @DPR_RI...

https://t.co/9AbkQrQuYg",2023-03-29 12:38:24+00:00
242,"VIDEO: Saling Balas, Debat Panas Arteria Dahlan Vs Mahfud MD di DPR https://t.co/vjON9gmdJt",2023-03-30 03:34:33+00:00
243,"Gaduh Mahfud MD Vs DPR RI Soal Rp 349 Triliun di Kemenkeu dan Kronologi Transaksi Versi Sri Mulyani
 
https://t.co/FfTIqFYsXM lewat @tribunpontianak",2023-03-29 05:53:28+00:00
244,"@AdhieMassardi @CingAlung CLBK kan biasanya sembunyi2.

DPR
SMI
BuzzeRp SMI

Vs

Prof. Mahfud MD (sendirian)
... paling sama Netizen.

Semoga menang yang JUJUR!",2023-03-27 19:43:31+00:00
245,melihat mahfud md vs dpr sak indonesia,2023-03-29 15:54:00+00:00
246,Mahfud MD vs Anggota DPR Tuai Pujian Warganet: Sendirian Lawan Gerombolan #pakmahfud https://t.co/Lmvaejdq3K,2023-03-29 12:37:40+00:00
247,"Live : MENKO vs DPR KOMISI III

https://t.co/mFcJwgCznC",2023-03-29 08:40:51+00:00
248,Sebenernya @DPR_RI sedang membela siapa sih..? Sy yakin periode berikutnya anggota @KomisiIII akan banyak berganti wajah baru. Sdh Jelas2 bpk @mohmahfudmd membela kepentingan rakyat.. Bpk @jokowi menteri anda sangat luar biasa. Kami rakyat bangga sekali https://t.co/IUDo98ozqQ,2023-03-31 21:42:07+00:00
249,"Kongres seru bulan ini komisi 3 DPR vs Mahfud MD, CEO Tiktok vs Senat Amerika",2023-03-29 17:17:00+00:00
250,"Komisi III DPR RI vs Mahfud MD akan bongkar terkait Dana mencurigakan Rp  349 Triliun di Kemenkeu.
Publik yakin dgn kualitas MMD menghadapi gerembolan itu...

https://t.co/uKzrXqLiB7",2023-03-29 11:52:46+00:00
251,Adu Dalil Mahfud MD Vs Arsul Sani Warnai Rapat DPR Soal Transaksi Janggal Rp349 Triliun Kemenkeu https://t.co/eFa6dCCgfp,2023-03-29 12:50:02+00:00
252,"Big Match Mahfud MD vs DPR di Kompleks Parlemen Senayan, Duel Membawa Tegang dan Mencekam

https://t.co/U3VT2VQNBd",2023-03-30 14:38:58+00:00
253,Live https://t.co/89cayqllTE,2023-03-29 16:56:30+00:00
254,Reaksi Netizen untuk Mahmud MD VS Artera Dahlan Dkk https://t.co/0Z9YDsIVs6,2023-03-31 12:04:31+00:00
255,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok? https://t.co/RK27LCw202",2023-03-27 05:18:09+00:00
256,"DPC Demokrat Manggarai Barat bakal menggelar acara nonton bareng (nobar) adu argumen Benny K Harman lawan Mahfud MD dalam paripurna di DPR.

via: @detikbali_ https://t.co/ArsMoSGy0k",2023-03-29 04:21:54+00:00
257,,2023-02-13 05:58:26+00:00
258,,2022-08-01 09:03:53+00:00
259,,2011-10-11 11:04:58+00:00
260,,2023-03-25 13:17:14+00:00
261,,2022-11-28 14:15:26+00:00
262,,2009-06-12 16:51:00+00:00
263,,2023-02-17 21:12:39+00:00
264,,2022-10-07 18:30:48+00:00
265,,2012-01-06 07:14:25+00:00
266,,2013-04-01 07:38:22+00:00
267,,2009-08-27 03:03:05+00:00
268,,2022-11-05 15:05:27+00:00
269,,2022-09-03 04:45:59+00:00
270,,2023-03-07 17:58:12+00:00
271,,2023-03-08 07:58:13+00:00
272,,2010-02-20 14:19:39+00:00
273,,2023-02-09 14:59:28+00:00
274,,2022-07-29 14:12:47+00:00
275,,2009-04-12 07:01:14+00:00
276,,2023-02-18 12:43:19+00:00
277,"DPC Demokrat Manggarai Barat bakal menggelar acara nonton bareng (nobar) adu argumen Benny K Harman lawan Mahfud MD dalam paripurna di DPR.
https://t.co/kGcNzxFTKZ",2023-03-29 03:20:45+00:00
278,,2022-10-03 02:46:54+00:00
